ID,order,family,specie,y,x
4272,Siluriformes,Callichthyidae,Corydoras nattereri,"-22,6472","-43,4516"
2410,Actinopterygii,Siluriformes,Acentronichthys,"-22,5825","-43,4375"
50,Trichoptera,Hydropsychidae,Sem Informações,"-22,9542","-43,2916"
6637,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,9431","-43,4078"
763,Ephemeroptera,Baetidae,Sem Informações,"-22,9591","-43,2757"
7069,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,5486","-43,3083"
3900,Odonata,Aeshnidae,Gynacantha mexicana,"-22,4623","-42,7627"
2141,Actinopterygii,Gymnotiformes,Gymnotus,"-22,5178","-42,8986"
3271,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,951","-42,8133"
5708,Characiformes,Curimatidae,Cyphocharax gilbert,"-22,6753","-42,9736"
5244,Characiformes,Characidae,Sem informaçao,"-22,5911","-43,0906"
1278,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9492","-42,704"
606,Hemiptera,Naucoridae,Sem Informações,"-22,9589","-43,2786"
2419,Actinopterygii,Siluriformes,Rhamdia,"-22,6522","-43,4017"
3227,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9417","-42,88"
5896,Siluriformes,Loricariidae,Sem informação,"-22,5792","-43,434"
465,Trichoptera,Leptoceridae,Grumichella rostrata,"-22,9542","-43,2916"
2411,Actinopterygii,Siluriformes,Acentronichthys,"-22,5897","-43,4333"
705,Diptera,Chironomidae,Sem Informações,"-22,9489","-43,2858"
5527,Characiformes,Crenuchidae,Characidium interruptum,"-22,5707","-43,3169"
79,Trichoptera,Philopotamidae,Chimarra morio,"-22,962","-43,2306"
4007,Characiformes,Anostomidae,Leporinus copelandii,"-22,9417","-43,2083"
3356,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9633","-42,8403"
1217,Actinopterygii,Pleuronectiformes,Achirus,"-22,9492","-42,704"
588,Basommatophora,Planorbidae,Sem Informações,"-22,7272","-42,7283"
58,Trichoptera,Polycentropodidae,Sem Informações,"-22,9574","-43,2776"
2175,Actinopterygii,Gymnotiformes,Gymnotus,"-22,6133","-43,4428"
1402,Actinopterygii,Atheriniformes,Atherinella,"-22,8189","-43,1947"
2806,Actinopterygii,Siluriformes,Neoplecostomus,"-22,3948","-42,5736"
1131,Insecta,Odonata,Erythemis,"-22,453","-42,772"
3232,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9417","-42,88"
3800,Odonata,Aeshnidae,Anax amazili,"-22,4511","-42,7708"
4476,Characiformes,Characidae,Sem informaçao,"-22,8665","-43,0031"
1076,Insecta,Odonata,Ischnura,"-22,453","-42,772"
4297,Siluriformes,Callichthyidae,Hoplosternum littorale,"-22,6753","-42,9733"
276,Trichoptera,Leptoceridae,Sem Informações,"-22,9332","-43,4806"
2715,Actinopterygii,Siluriformes,Hisonotus,"-22,5178","-42,8986"
153,Trichoptera,Sem Informações,Sem Informações,"-22,4833","-42,9833"
5559,Cichliformes,Cichlidae,Sem informação,"-22,9194","-43,2425"
6011,Siluriformes,Heptapteridae,Acentronichthys leptos,"-22,6211","-43,2419"
6880,Cyprinodontiformes,Poeciliidae,Phalloptychus januarius,"-23,0231","-43,5017"
495,Trichoptera,Calamoceratidae,Phylloicus abdominalis,"-22,495","-42,9981"
4811,Characiformes,Characidae,Astyanax hastatus,"-22,9167","-43,4167"
7077,Siluriformes,Trichomycteridae,Homodiaetus passarelli,"-22,8125","-42,6569"
4611,Characiformes,Characidae,Sem informaçao,"-22,5742","-43,1961"
1077,Insecta,Odonata,Ischnura,"-22,453","-42,772"
3787,Odonata,Aeshnidae,Anax concolor,"-22,5414","-42,8091"
967,Actinopterygii,Siluriformes,Trichomycterus,"-22,5825","-43,4375"
839,Insecta,Coleoptera,Heterelmis,"-22,9638","-43,2667"
4278,Carangiaria,Centropomidae,Sem informação,"-23,0167","-43,4833"
4440,Characiformes,Characidae,Astyanax hastatus,"-22,9939","-43,4953"
1067,Insecta,Odonata,Acanthagrion,"-22,959","-43,2774"
1726,Actinopterygii,Siluriformes,Scleromystax,"-22,575","-43,3636"
931,Actinopterygii,Siluriformes,Trichomycterus,"-22,4419","-42,627"
4830,Characiformes,Characidae,Sem informaçao,"-22,5725","-43,1967"
6698,Siluriformes,Trichomycteridae,Trichomycterus zonatus,"-22,9164","-43,4358"
71,Trichoptera,Helicopsychidae,Sem Informações,"-22,9488","-43,286"
6646,Cyprinodontiformes,Poeciliidae,Poecilia vivipara,"-22,9997","-43,4231"
34,Trichoptera,Hydropsychidae,Sem Informações,"-22,9542","-43,2916"
430,Trichoptera,Sem Informações,Sem Informações,"-22,5167","-42,9833"
4,Trichoptera,Helicopsychidae,Sem Informações,"-22,9564","-43,2899"
12,Trichoptera,Hydroptilidae,Sem Informações,"-22,9578","-43,289"
2940,Actinopterygii,Siluriformes,Parotocinclus,"-22,6122","-43,4181"
3804,Odonata,Aeshnidae,Gynacantha nervosa,"-22,4694","-42,7588"
4320,Siluriformes,Callichthyidae,Corydoras nattereri,"-22,4736","-42,7606"
1146,Insecta,Odonata,Erythemis,"-22,453","-42,772"
4990,Characiformes,Characidae,Sem informaçao,"-22,6472","-43,4516"
2375,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,3956","-42,5845"
853,Insecta,Coleoptera,Neoelmis,"-22,9638","-43,2667"
707,Diptera,Chironomidae,Sem Informações,"-22,9489","-43,2858"
6548,Siluriformes,Loricariidae,Sem informação,"-22,6133","-43,4108"
5669,Characiformes,Crenuchidae,Characidium vidali,"-22,4942","-42,9981"
4015,Cyprinodontiformes,Anablepidae,Jenynsia lineata,"-23,0656","-43,5669"
4374,Carangiaria,Centropomidae,Centropomus undecimalis,"-22,6928","-42,9553"
