OBJECTID_1,ID,Ordem,Familia,Especie,X,Y
5477,5599,Cichliformes,Cichlidae,Sem informação,"-22,4123","-41,8356"
2668,2718,Actinopterygii,Siluriformes,Kronichthys,"-22,5828","-42,5747"
2495,2541,Actinopterygii,Siluriformes,Parotocinclus,"-22,6136","-43,2281"
4491,4591,Characiformes,Characidae,Astyanax bimaculatus,"-22,1872","-41,6611"
952,986,Actinopterygii,Siluriformes,Trichomycterus,"-22,2975","-42,541667"
5112,5225,Characiformes,Characidae,Sem informaçao,"-22,5831","-43,4469"
5634,5760,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,5031","-42,894"
2636,2685,Actinopterygii,Siluriformes,Schizolecis,"-22,2413","-42,088"
2140,2179,Actinopterygii,Siluriformes,Pimelodella,"-22,4465","-42,7521"
2898,2965,Actinopterygii,Siluriformes,Loricariichthys,"-22,712","-43,8821"
5176,5289,Cichliformes,Cichlidae,Coptodon rendalli,"-22,7131","-42,9519"
1937,1976,Actinopterygii,Characiformes,Hoplias,"-21,7932","-41,5493"
2935,3002,Actinopterygii,Siluriformes,Pimelodus,"-21,6347","-41,7614"
4418,4518,Characiformes,Characidae,Oligosarcus hepsetus,"-22,4325","-42,933"
5101,5214,Characiformes,Characidae,Astyanax bimaculatus,"-22,2858","-41,7297"
5113,5226,Characiformes,Characidae,Oligosarcus hepsetus,"-22,7131","-42,9519"
2007,2046,Actinopterygii,Characiformes,Hoplias,"-22,5849","-42,2364"
5390,5510,Cichliformes,Cichlidae,Australoheros macacuensis,"-22,4336","-42,7606"
5043,5154,Characiformes,Characidae,Hyphessobrycon luetkenii,"-22,3708","-41,7869"
1623,1658,Actinopterygii,Siluriformes,Scleromystax,"-22,6042","-43,2211"
4889,4995,Characiformes,Characidae,Sem informaçao,"-22,5622","-43,2561"
3397,3472,Actinopterygii,Characiformes,Prochilodus,"-21,7485","-42,3424"
4921,5027,Characiformes,Characidae,Bryconamericus ornaticeps,"-22,6211","-43,2419"
5483,5605,Cichliformes,Cichlidae,Sem informação,"-22,6667","-43,8333"
2147,2187,Actinopterygii,Siluriformes,Rhamdia,"-21,9655","-41,9035"
