LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Megaelosia,Hylodidae,Megaelosia goeldii,118649,,,,,,,,,,,,,,,,,,,RJ,,118649
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys appendiculata,118650,,,,,,,,,,,,,,,,,,,RJ,,118650
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys appendiculata,118651,,,,,,,,,,,,,,,,,,,RJ,,118651
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla circumdata,118652,,,,,,,,,,,,,,,,,,,RJ,,118652
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus arildae,118653,,,,,,,,,,,,,,,,,,,RJ,,118653
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla carvalhoi,118654,,,,,,,,,,,,,,,,,,,RJ,,118654
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Scinax,Hylidae,Scinax v-signatus,118655,,,,,,,,,,,,,,,,,,,RJ,,118655
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys appendiculata,118662,,,,,,,,,,,,,,,,,,,RJ,,118662
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla carvalhoi,118663,,,,,,,,,,,,,,,,,,,RJ,,118663
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla circumdata,118664,,,,,,,,,,,,,,,,,,,RJ,,118664
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys appendiculata,118665,,,,,,,,,,,,,,,,,,,RJ,,118665
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Scinax,Hylidae,Scinax hayii,118666,,,,,,,,,,,,,,,,,,,RJ,,118666
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla circumdata,118669,,,,,,,,,,,,,,,,,,,RJ,,118669
